Book,Blurb,Author
A story of a Real Man,"අලෙක්සේයි මරේසියෙව් නම් රුසියන් සෙබළා දෙවන ලෝක සංග්‍රාමයේ දී ඇඩෝෆ් හිට්ලර්ගේ ප්ර්මානු යුධ සේනාංක හා සටන් වැද තම දෙපා අහිමි කරගත් ගුවන් හමුදා නියමුවෙකි. තම දෙපා අහිමිවීමෙන් පසුවද හිට්ලර්ගේ ප්‍රබල හමුදා සමඟ සටන්වැද විශිෂ්ට ජයග්‍රහණ රැසක් රුසියන් හමුදා වෙත අත් කර දෙන්නට ඔහු සමත් විය. නවකතාවේ කතා නායකයා ඔහුයි. මුළු යුරෝපයම වාගේ ලෙයින් නෑවූ දෙවන ලෝක යුද්ධයේ දී,භිට්ලර්ගේ සේනා සෝවියට් සංගමයෙන් සෑහෙන කොටසක් අල්ලා ගැනීමට සමත් වූ අතර, සෝවියට් සෙබළු හිට්ලර්ගේ ජර්මන් සේනාවන්ට හා ඔහුට ගැති රටවල් ගණනාවක, යුධ හමුදා වලට ද විරුද්ධව සටන් දියත් කළහ. ඒ සෑම අවස්ථාවකදීම අසමසම වීරත්වයක් පෙන්වූ සෝවියට් ජනතාවගේ, දේශප්‍රේමීත්වයද මේ කෘතියෙන් අපට මනාව පැහැදිලි වේ.",Boris Polevoy
Disgrace,"පශ්චාද් වර්ණභේදවාදී දකුණු අප්‍රිකාවේ තීරණාත්මක ලෙස වෙනස් වූ බල සංරචක විසින් ඇතිකරනු ලැබ තිබෙන නව දේශපාලනික හා ආචාර ධාර්මික අභියෝගයන් නො බිය ව වේදිකාවට කැඳවමින්, කොඑට්සි ඒ ඔස්සේ යෙදෙන්නේ අන්ධකාර මනුෂ්‍ය සත්තාව පිළිබඳ ගැඹුරු හා නිර්දය ගවේශනයක ය. සිය කුසලතාව තමා අවට සමාජයට කැඩපතක් ඇල්ලීමට පමණක් සීමා නොවන බව ඔහු මේ හරහා ප්‍රකට කරවයි. එතැනින් ඔබ්බට යමින් ඔහු කළු මිනිසා සහ සුදු මිනිසා අතර මෙන් ම ස්ත්‍රිය හා පුරුෂයා අතරත් ඇති ආතතිගත සබඳතාව පිළිබඳ කරදරකාරී හා තැතිගන්වනසුලු ප්‍රශ්න කිරීමක නියැලේ.",J. M. Coetzee
In the Midst of Winter,කෙනෙකුගේ මුළු ජීවිත කාලය පුරාම මතකයේ රැඳෙන පරිදි ඉතා දරුණු අන්දමින් ඇමෙරිකා එක්සත් ජනපදයේ බෲක්ලින් ප්‍රාන්තයට හමාගිය හිම කුණාටුව පැවති කාලය තුළ එකිනෙකට වෙනස් චරිත හිමි තිදෙනකු අතර සදාකාලික මිතුදමක් ගොඩනැගිණ. එමෙන්ම තම ජීවිතය තනිකඩව නිහඬව ගෙන ගිය හැටවන වියේ පසු වූ මානව හිමිකම් පිළිබඳ විශ්වවිද්‍යාල මහාචාර්යවරයකු වූ රිචඩ් බෝමාස්ටර් සහ හැට දෙවැනි වියේ පසු වූ චිලී ජාතික විශ්වවිද්‍යාල කථිකාචාර්යවරයකු වූ ලුසියා මරාස් සහ ඒ වන විට ඇමෙරිකාවේ විසූ නීතිවිරෝධී සංක්‍රමණික චිලී ජාතික තරුණ කාන්තාවක වූ එව්ලින් ඔටේගා ඇති කරගත් මිතුදම ය. ඒ සමඟම ජීවිතයේ පසුභාගයේ දිවි ගෙවූ ඉහත කීමහාචාර්යවරයා සහ කථිකාචාර්යවරිය අතර සදාතනික ආදරයක් ගොඩනැගිණ.,Isabel Allende
The Cranes Fly Early,"මේ කතාවේ දී අයිත්මාතොව් තම පාඨකයාව 1941-1945 යුද සමයේ කිර්ගීසියාවේ දුර ඈත සොඳුරු ගම්මානයක් වෙත එකතු කරගෙන යයි. අවි දැරීමට හැකියාව ඇති සියල්ලන්ම එදවස යුද පෙරමුණට කැඳවා තිබුණේ, කිසිවක් කර කියාගත නොහැකි වයස්ගත කාන්තාවන් සහ කුඩා දරුවන් පමණක් ගමෙහි ඉතිරි කරමිනි. වැඩිහිටි පිරිමින්ගේ කටයුතු සියල්ල හිරිමලුන්ගේ කර මත පැටවුණි. ප්‍රථම වතාවට මේ හිරිමල් යෞවනයන්ව දුෂ්කර යුද වාතාවරණය මැද්දේ සී සා, බිම් නඟා, බිජුවට වපුරන්නට අක්සායි පෙදෙස බලා රැගෙන යන ලදි. සියලු පිරිපත විඳ දරා ගනිමින් තම රැහැට බත සපයන්නට අප්‍රතිහත ධෛර්යයෙන් යුතුව උරදෙන යෞවනයකුගේ සන්තානයෙහි හාපුරා ප්‍රේමය විකසිත වන අයුරු අයිත්මාතොව් මනරම්ව වාක් චිත්‍රණය කරයි.",Chinghiz Aitmatov
The Years Months Days / Marrows (මහල්ලා සහ ඉරිඟු පැළය / ඇටමිදුළු),"මහල්ලෙක්, ඉරිඟු පැළයක් සහ ඔහුට තනි රකින බල්ලෙක්. දරුණු නියං සමයක සියලු මිනිසුන් විසින් හැර දමන ලද ගම්මානයක ජීවත්වීම සඳහා වන දරුණු අරගලයක්. සැමියා ද තමන් හැරගිය පසුව පරම්පරාගත රෝගයක් හේතුවෙන් මානසික වශයෙන් දුබල බවට පත් පුතකු සහ දියණියන් තිදෙනකු සමඟින් ජීවිතය හා පොර බදන මවක්. අතිශය දරුණු තත්ත්වයන් යටතේ වුව නොවැටී දරා සිටීමට සහ නැඟී සිටීමට මිනිසා සතු ශක්තිය සහ ආත්ම පරිත්‍යාගී ගුණය විමසන මේ නවකතාවන් දෙක සමකාලීන චීන සාහිත්‍යයෙහි විශිෂ්ටයෙකු වන යාන් ලියාන්කි විසින් විශ්ව සාහිත්‍යයට දායාද කරන ලද අගනා නිර්මාණ දෙකකි.",Yan Liyanke
Lullaby,"කීර්තිමත් ප්‍රංශ-මොරොක්කානු නීතිඥවරියක වූ මිරියාම් නැවත සේවයට අවතීර්ණ වීමට තීරණය කිරීමත් සමඟ ඇයටත් ඇගේ සැමියාටත් තම දරු දෙදෙනාගේ රැකවරණයට මවක් බඳුම වූ ආයම්මා කෙනෙකුගේ සේවය ලබා ගැනීම අනිවාර්ය අවශ්‍යතාවයක් විය. තම දරු දෙදෙනාට ගී ගයන පැරිසියේ තම තට්ටු නිවාස නිවහන මනාව පවත්වා ගත්, නිහඬ, ආචාරශීලී, ලුයිස් හමුවෙනු ඇතැයි ඔවුහු සිහිනෙනුදු නොසිතූහ. මිරියාම් යුවළත් ආයම්මාත් එකිනෙකාට නැතිවම බැරි අයුරින් බැඳී සිටිය ද ඊර්ෂ්‍යාව, සැකය, කලකිරීම වර්ධනය වෙත්ම මිරියාම් සහ පෝල්ගේ සිහිනයට කුමක් සිදුවෙයි ද? බලය, පංතිය, ජාතිය, මාතෘත්වය සහ ගෘහීයත්වය පිළිබඳ නිර්භීත ගවේෂණයක යෙදෙන ප්‍රතිභාපූර්ණ, සම්මානනීය ලේඛිකාවකගේ කියවිය යුතුම නවකතාවකි.",Leïla Slimani
කන්ද උඩගෙදර,එළිසබෙත් ලයිඩ් ගේ කෘතියක් වූ 'කන්ද උඩගෙදර' නමැති කෘතියේ පරිවර්තනයක් වූ මෙයින් යෞවන ප්‍රේමය පිළිබඳව වූ සුන්දර අත්දැකීමක් පිළිබිඹු කරයි.,එළිසබෙත් ලයිඩ්
යුගාන්තය,අපේ උසස් සමාජයේ ජීවිතය චිත්‍රපටයකින් මෙන් වික්‍රමසිංහ මහතා යුගාන්තයෙන් පිළිබිඹු කරයි. ඔහු මේ කථාව කියන්නේ සමාජයේ අප කාටත් අසන්ට හා දකින්ට ලැබෙන සිදුවීම් වස්තු කොට ගෙන ය. ඒ සිද්ධීන් සිදුවන සැටියෙන්ම පාඨකයා ඉදිරියෙහි මවා පෙන්වීමට යොදා ගෙන තිබෙන්නේ සමාජයේ ජීවත්වන ප්‍රකෘති  ස්ත්‍රී පුරුෂයන්ගේ චරිතයන් ය. එහෙත් කර්තෘ ගේ ප්‍රතිභා ශක්තිය නිසා පාඨකයාට යුගාන්තයෙන් කියවන්ට ලැබෙන්නේ ඔහු ඇසූ දුටු දෙයෙහි වුව ද අපූර්ව සෞන්දර්යයක් හා අපූර්ව රසයක් ඇති චමත්කාර ජනක කථාන්තරයකි.,මාර්ටින් වික්‍රමසිංහ
The Place of the Skull,"ජනතාවගේ ආහාර අවශ්‍යතා වෙනුවෙන් රටේ සත්ත්ව සම්පත අනුකම්පා විරහිතව ඝාතනය කිරීමට නිකුත් කෙරෙනා නිලධාරීවාදී ආඥා හමුවේ පරිසර තුලිතතාව බිඳවැටීමෙන් පීඩනයට ලක්වන මිනිසා හා සත්ත්ව ජීවිතවල ඛේදවාචකයත් ආගමික සංස්ථාවේ අත්තනෝමතිකකම් ප්‍රශ්න කිරීම හමුවේ නෙරපනු ලබනා පූජකවරයකු මිනිසාට තමන් අදහන සත්‍ය වටහාදීමට යාමෙන් මුහුණදෙන ඉරණමත්, සමාජ විමුක්තිය උදෙසා අවංකව කැපවෙන විමුක්තිකාමියකු හට නිලධාරිවාදයෙන් එල්ලවන අසාධාරණයන් හරහා සමස්ත සෝවියට් සමාජයේම අවසන් භාගය පිළිබඳ පුළුල් සිත්තමක් ඉදිරිපත් කෙරෙනා 'දංගෙඩිය' යනු සෝවියට් සාහිත්‍යයේ මතු නොව විශ්ව සාහිත්‍යයේ ද අගනා මතක සටහනකි.මේ නවකතාව අයිත්මාතොව්ගේ කෘති අතර තේමාත්මක වශයෙන් මුළුමනින්ම වෙනස් මගක් ගත්තක් සේ සැලකිය හැකි ය. ඔහු මේ කෘතිය පළ කරන්නේ සෝවියට් දේශයේ අර්බුද මෝරා එමින් පැවති සමයක ය. සෝවියට් දේශය ලෝක සිතියමෙන් මැකී ගොස් තිබුණ ද අයිත්මාතොව් තම කෘතිය හරහා මතු කරන විවේචනය වාමාංශික ව්‍යාපාරවල අද ඉන්නා ක්‍රියාධරයන්ගේ අවධානයට යොමු කිරීම ඉතා වැදගත් වෙයි.",Chinghiz Aitmatov
Seasons of the Palm,කුල පීඩනයේ විය ගසට යටකර සිය ළමා වියෙහි නොකල් වැඩිහිටියන් බවට පත් කරනු ලබනා ළමුන් පිරිසක්. කුල පීඩනයේ මෙන්ම ආර්ථික පීඩනයේ ද බර දරාගත නොහැකිව සිය දරුවන් උසස් යයි සම්මත කුලයන්හි වාල්කමට පවරන්නට බල කෙරුණු වැඩිහිටි පරම්පරාවක් පෙරුමාල් මුරුගන්ගේ අග්‍රකෘතිය සේ සැලකෙන මේ නවකතාව කුල ක්‍රමය යනු තවත් කල් පවත්වා නොගත යුතු මානව විරෝධී පද්ධතියක් බව මනාව විදහන අපූර්ව නවකතාවකි.,Perumal Murugan
රුදාව,"කොතරම් දක්ෂතා තිබුණන් කැලේම පිපී කැලේම පරවී යන මල් මෙන් නම දක්ෂතාවන් එළිදැක්වීමට ඉඩ නොලබා අකාලයේ විනාශ මුඛයට පත්වන දරුවෝ අද ද එමට සිටිති.මුළු ජීවිතයම කඹුරා තම දරුවන් තමන් වැටී සිටින නරා වළෙන් ඔඝවා තැබීමට යත්න දරන දුප්පත් දෙමාපියෝ දරිද්‍රතාවයේ කුරිරු දඬු අඬුවට හසුවී කබලෙන් ළිපට වැටී මියැදෙති.තම රීරි මාංශය වැයකර සරුසාර කරගත් අස්වැන්න, ගොවි සුසුම් ලද්දී හිත් පිත් නැති පොලීකාරයන් ඔවුන්ගේ ඇස්පනාපිටම පැහැරගෙන යති. දකුණේ ගමක පීඩිත ජන ජීවිතය පිළිබිඹු කරන අන්දිරිස්ලා, සාමෙල්ලා, විමල්ලා ගේ ඒ දුක්ඛර කථා පුවතයි රුදාව. ",සිරිසේන පල්ලෙවත්ත
"Roll of Thunder, Hear My Cry","ඔබ කිසි දිනෙක කාගේ හෝ අවමානයකට ලක් වී තිබේ ද? ඔබම තීරණය කරන්න. එහිදී ඔබ විඳි වේදනාව, මේ කළු මිනිසුන් තමන්ගේ උපන් බිමෙන් දුර බැහැර දේශයක දී විඳි දුක් ගැහැට, කරදර, අවමන් සහ මරණය අත් විඳි අන්දම මේ පොත ඔබට පසක් කර දෙනු ඇත.මිනිසුන්ගේ දුක් දොම්නස් මෙන්ම උපායශීලී බව හා තේරුම් ගැනීමේ ශක්තිය ද මේ පොත ඔබට අනාවරණය කරයි. තම වර්ගයා ගැන ඇති ආඩම්බරය ද ආදරය ද අපට තේරුම් ගැනීමට ඉඩ දෙයි.",Mildred D. Taylor
The Valley of Ghosts,"ලෝකයේ විවිධ ආකාරයේ වංචනික ක්‍රියාවන් හා අපරාධයන් මානව ශිෂ්ඨාචාරයේ ආරම්භයේ පටන් සිදු වන්න ඇත. ඒවා අද ද සිදු වෙයි. මතුවටත් ඒවා සිදු නොවෙන්නේ යයි සිතීම අසීරු ය. එපමණක් නොව මෙවැනි ක්‍රියාවන්ට දායක වුවත් සමාජ ක්‍ෂේත්‍රයේ ප්‍රබල හා උසස් සමාජ තත්ත්වයන් ලබා සමාජයේ වැජඹෙන්නට ද ඉඩ ඇත. එහෙත් පසුව හෝ ඔවුන්ගේ යථා ස්වරූපය ලෝකයට හෙළි වන අවස්ථා නැත්තේ නොවේ. නූතන මිනිස් වර්ගයාගේ පැතිකඩක් බදු එවැනි චරිත සාහිත්‍ය කෘතීන්වල චරිත බවට පත් වීම විරල සංසිද්ධියක් නොවේ. විශේෂයෙන් ම රහස් පරීක්‍ෂණ නවකතා යයි වර්ගීකරණය කළ හැකි නවකතාවල එවැනි චරිත අපට හමු වේ.මෙම කතාවෙහි මෙරිබන් මහතා, බොයිඩ් සෙල්ටර් මහතා හා ස්කොටී වැනි චරිත ඇත්තෝ මෙනි. ඔවුන් විනාශය කරා යද්දී තරුණ බුද්ධි සේවා නිලධාරී වෛද්‍ය මැක්ලියොඩ් විසින් තම දැනුම අත්දැකීම් හා පළපුරුද්ද උපයෝගී කරගෙන ඔහන්ගේ යථා ස්වරූපය හෙළි කරනු ලබයි.",Edgar Wallace
The Man in the Brown Suit (දුඹුරු ඇඳුමෙන් සිටි මිනිසා),"ලන්ඩන් උමං දුම්රිය පොළකදී, දුම්රිය මාර්‍ගයකට වැටී මගියෙක් මිය යයි. තවත් මොහොතකදී රූමත් තරුණියක් මරා දමන්නේ පාළු මන්දිරයක් තුළදීය. මෙම සිදුවීම් අතර සම්බන්ධයක් ඇද්ද? දුම්රිය මාර්‍ගයට වැටුණු මගියා පරීක්ෂා කරන වෛද්‍යවරයා නිමේෂයකින්අ තුරුදහන් වෙන්නේ ඔහුගේ සාක්කුව තුළින් බිමට වැටෙන කුඩා කොළ කෑල්ල මහත් ආන්දෝලනයකට තුඩුදෙන විශේෂ හෝඩුවාවක් බවට පත් කරමිනි. එය අහුලා ගන්නා වික්‍රමාන්විත ක්‍රියා කැමති බෙඩින්ෆීල්ඩ් මෙනෙවිය අවසානයේ නතර වෙන්නේ බිහිසුණු එසේම අවසානයක් නොමැති දිගුවූ කටුක මුහුදු ගමනකිනි.",Agatha Christie / 	බර්ටි ද කොස්තා
